name,venue_id,date,res_time,res_type,source,url_slug,url
Lilia,418,2022-07-24,2022-07-24 16:00:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:15:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:15:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:30:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:30:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:45:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:45:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 16:45:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 17:00:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 17:00:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 17:15:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 17:30:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 17:30:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 17:45:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 18:15:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 18:30:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 19:45:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 20:00:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 20:00:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 20:15:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 20:45:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 20:45:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 20:45:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 21:00:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 21:00:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 21:00:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 21:15:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
Lilia,418,2022-07-24,2022-07-24 21:15:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2022-07-24&seats=2
