name,venue_id,date,res_time,res_type,source,url_slug,url
Lilia,418,2023-06-18,2023-06-18 16:00:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:00:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:15:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:15:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:30:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:30:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:30:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 16:45:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 18:30:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 20:00:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 20:45:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 21:00:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 21:00:00,Patio,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 21:00:00,Piazza,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 21:15:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
Lilia,418,2023-06-18,2023-06-18 21:30:00,Indoor,resy,lilia,https://resy.com/cities/ny/lilia?date=2023-06-18&seats=2
